VALUE;DATE;HOUR
351430;02.02.2010 0:00:00.000000;18
351427;27.01.2010 0:00:00.000000;7
351408;07.12.2010 0:00:00.000000;6
351407;04.02.2010 0:00:00.000000;11
351382;27.01.2010 0:00:00.000000;5
351359;03.02.2010 0:00:00.000000;18
351324;20.10.2010 0:00:00.000000;22
351310;22.01.2010 0:00:00.000000;15
351211;16.02.2010 0:00:00.000000;21
351180;03.11.2010 0:00:00.000000;19
351172;03.11.2010 0:00:00.000000;18
350991;22.01.2010 0:00:00.000000;14
350967;05.02.2010 0:00:00.000000;9
350939;24.02.2010 0:00:00.000000;22
350916;09.02.2010 0:00:00.000000;14
350908;28.01.2010 0:00:00.000000;1
350904;22.01.2010 0:00:00.000000;22
350888;02.02.2010 0:00:00.000000;17
350848;25.01.2010 0:00:00.000000;13
350829;27.10.2010 0:00:00.000000;16
350826;22.01.2010 0:00:00.000000;23
350771;12.02.2010 0:00:00.000000;20
350716;02.11.2010 0:00:00.000000;16
350698;28.10.2010 0:00:00.000000;13
350690;27.10.2010 0:00:00.000000;12
350677;20.10.2010 0:00:00.000000;16
350675;17.02.2010 0:00:00.000000;22
350673;22.01.2010 0:00:00.000000;21
350642;20.02.2010 0:00:00.000000;17
350633;09.02.2010 0:00:00.000000;13
350580;16.02.2010 0:00:00.000000;22
350541;04.02.2010 0:00:00.000000;12
350519;25.01.2010 0:00:00.000000;21
350481;17.02.2010 0:00:00.000000;18
350443;05.02.2010 0:00:00.000000;18
350363;17.12.2009 0:00:00.000000;19
350363;25.01.2010 0:00:00.000000;16
350333;24.02.2010 0:00:00.000000;9
350286;20.10.2010 0:00:00.000000;23
350284;04.11.2010 0:00:00.000000;20
350278;02.12.2010 0:00:00.000000;22
350218;24.02.2010 0:00:00.000000;18
350191;17.02.2010 0:00:00.000000;23
350178;09.02.2010 0:00:00.000000;15
350155;01.12.2010 0:00:00.000000;17
350140;25.01.2010 0:00:00.000000;12
350133;01.12.2010 0:00:00.000000;19
350128;07.12.2010 0:00:00.000000;4
350110;21.10.2010 0:00:00.000000;17
350105;05.02.2010 0:00:00.000000;21
350100;01.12.2010 0:00:00.000000;18
350046;22.01.2010 0:00:00.000000;13
350042;20.10.2010 0:00:00.000000;15
350007;20.02.2010 0:00:00.000000;23
349984;20.10.2010 0:00:00.000000;21
349950;03.02.2010 0:00:00.000000;14
349945;01.12.2010 0:00:00.000000;22
349879;26.11.2010 0:00:00.000000;10
349875;03.02.2010 0:00:00.000000;21
349858;03.02.2010 0:00:00.000000;15
349850;04.02.2010 0:00:00.000000;13
349841;26.02.2010 0:00:00.000000;12
349835;22.01.2010 0:00:00.000000;9
349750;27.01.2010 0:00:00.000000;2
349703;03.11.2010 0:00:00.000000;22
349574;25.02.2010 0:00:00.000000;12
349564;25.01.2010 0:00:00.000000;10
349505;28.11.2010 0:00:00.000000;21
349499;27.10.2010 0:00:00.000000;11
349481;01.12.2010 0:00:00.000000;20
349476;18.03.2010 0:00:00.000000;11
349464;28.10.2010 0:00:00.000000;14
349439;05.02.2010 0:00:00.000000;17
349404;26.02.2010 0:00:00.000000;11
349392;06.12.2010 0:00:00.000000;9
349381;03.02.2010 0:00:00.000000;17
349374;04.02.2010 0:00:00.000000;14
349366;02.11.2010 0:00:00.000000;12
349360;28.10.2010 0:00:00.000000;15
349345;04.02.2010 0:00:00.000000;15
349335;27.10.2010 0:00:00.000000;14
349327;21.12.2009 0:00:00.000000;17
349319;26.02.2010 0:00:00.000000;14
349229;04.02.2010 0:00:00.000000;20
349216;04.02.2010 0:00:00.000000;19
349197;16.02.2010 0:00:00.000000;1
349187;09.12.2010 0:00:00.000000;8
349179;25.02.2010 0:00:00.000000;15
349174;18.02.2010 0:00:00.000000;8
349168;05.02.2010 0:00:00.000000;22
349153;22.11.2010 0:00:00.000000;12
349108;23.02.2010 0:00:00.000000;22
349093;26.01.2010 0:00:00.000000;2
349088;21.10.2010 0:00:00.000000;22
349077;18.02.2010 0:00:00.000000;9
349016;25.01.2010 0:00:00.000000;20
349000;18.03.2010 0:00:00.000000;12
348984;26.01.2010 0:00:00.000000;1
348956;24.02.2010 0:00:00.000000;23
348956;04.11.2010 0:00:00.000000;17
348948;09.02.2010 0:00:00.000000;16
348928;04.02.2010 0:00:00.000000;9
348879;25.01.2010 0:00:00.000000;17
348824;27.10.2010 0:00:00.000000;19
348796;04.02.2010 0:00:00.000000;18
348792;03.11.2010 0:00:00.000000;11
348764;04.02.2010 0:00:00.000000;16
348742;26.02.2010 0:00:00.000000;15
348642;24.02.2010 0:00:00.000000;1
348631;28.10.2010 0:00:00.000000;12
348617;26.02.2010 0:00:00.000000;16
348605;03.11.2010 0:00:00.000000;16
348567;10.02.2010 0:00:00.000000;22
348566;03.11.2010 0:00:00.000000;15
348562;04.11.2010 0:00:00.000000;18
348551;23.02.2010 0:00:00.000000;23
348532;26.01.2010 0:00:00.000000;7
348528;03.02.2010 0:00:00.000000;16
348523;24.02.2010 0:00:00.000000;2
348469;01.12.2010 0:00:00.000000;10
348443;04.02.2010 0:00:00.000000;21
348408;27.01.2010 0:00:00.000000;6
