Year,Grade_Level,Assessment,Program,Board,Sex,Adaptation,IPP,Exemption,Eligible,Math_Score,Math_Level
2017-18,6,M,English,TCRSB,M,,,,Yes,653.59,Level 4
2017-18,6,M,English,AVRSB,F,,,,Yes,602.39,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,563.13,Level 3
2017-18,6,M,English,TCRSB,F,,,,Yes,721.63,Level 4
2017-18,6,M,English,HRSB,F,,,,Yes,531.31,Level 3
2017-18,6,M,English,AVRSB,M,,,,Yes,728.46,Level 4
2017-18,6,M,English,HRSB,M,,,,Yes,576.63,Level 3
2017-18,6,M,English,HRSB,M,Yes,,,Yes,504.27,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,733.31,Level 4
2017-18,6,M,English,HRSB,F,,,,Yes,323.07,Level 1
2017-18,6,M,English,HRSB,F,,,,Yes,417.28,Level 2
2017-18,6,M,English,TCRSB,F,Yes,,,Yes,389.16,Level 2
2017-18,6,M,English,HRSB,M,,,,Yes,657.74,Level 4
2017-18,6,M,English,HRSB,F,,,,Yes,623.71,Level 3
2017-18,6,M,English,AVRSB,M,,,,Yes,639.2,Level 4
2017-18,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2017-18,6,M,English,HRSB,F,,,,Yes,434.53,Level 2
2017-18,6,M,English,HRSB,F,,,,Yes,546.39,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,303.79,Level 1
2017-18,6,M,English,HRSB,M,,,,Yes,601.2,Level 3
2017-18,6,M,English,CCRSB,M,,,,Yes,659.94,Level 4
2017-18,6,M,English,HRSB,M,,,,Yes,640.88,Level 4
2017-18,6,M,CSAP,CSAP,F,Yes,,,Yes,302.45,Level 1
2017-18,6,M,CSAP,CSAP,F,,,,Yes,518.88,Level 3
2017-18,6,M,English,TCRSB,F,Yes,,,Yes,333.32,Level 1
2017-18,6,M,English,AVRSB,F,,,,Yes,481.5,Level 3
2017-18,6,M,French Imm,SRSB,M,,,,Yes,785.36,Level 4
2017-18,6,M,English,AVRSB,M,,,,Yes,589.39,Level 3
2017-18,6,M,English,AVRSB,F,,,,Yes,720.08,Level 4
2017-18,6,M,French Imm,TCRSB,M,,,,Yes,595.47,Level 3
2017-18,6,M,English,CBVRSB,F,,,,Yes,367.57,Level 1
2017-18,6,M,English,HRSB,M,,,,Yes,520.23,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,610.52,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,459.26,Level 3
2017-18,6,M,English,HRSB,M,Yes,,,Yes,496.01,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,479.98,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,449.27,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,332.64,Level 1
2017-18,6,M,English,HRSB,F,,,,Yes,570.96,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,580.02,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,612.56,Level 3
2017-18,6,M,CSAP,CSAP,M,,,,Yes,653.73,Level 4
2017-18,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2017-18,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2017-18,6,M,English,SSRSB,M,,,,Yes,688.61,Level 4
